round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,year,localtime,roundname,id,ateamid,tz,timestr,complete,updated,hteamid,is_grand_final,abehinds,ateam,winner,hgoals,ascore,unixtime
1,9,140,Adelaide Oval,14,Adelaide,1.0,2015-04-05 15:20:00,0,2015,2015-04-05 14:50:00,Round 1,2614,12,+10:00,Full Time,100,2018-06-26 12:18:15,1,0,9,North Melbourne,Adelaide,21,63,1428211200
1,12,74,Gabba,8,Brisbane Lions,4.0,2015-04-04 19:20:00,0,2015,2015-04-04 18:20:00,Round 1,2606,4,+11:00,Full Time,100,2018-06-26 12:18:15,2,0,14,Collingwood,Collingwood,11,86,1428135600
1,15,78,M.C.G.,12,Carlton,14.0,2015-04-02 19:20:00,0,2015,2015-04-02 19:20:00,Round 1,2603,14,+11:00,Full Time,100,2018-06-26 12:18:15,3,0,15,Richmond,Richmond,11,105,1427962800
1,10,75,Subiaco,9,Fremantle,6.0,2015-04-05 18:40:00,0,2015,2015-04-05 16:40:00,Round 1,2615,13,+10:00,Full Time,100,2018-06-26 12:18:15,6,0,8,Port Adelaide,Fremantle,11,68,1428223200
1,8,123,M.C.G.,21,Hawthorn,10.0,2015-04-06 15:20:00,0,2015,2015-04-06 15:20:00,Round 1,2616,7,+10:00,Full Time,100,2018-06-26 12:18:15,10,0,13,Geelong,Hawthorn,17,61,1428297600
1,13,115,M.C.G.,13,Melbourne,11.0,2015-04-04 13:40:00,0,2015,2015-04-04 13:40:00,Round 1,2604,8,+11:00,Full Time,100,2018-06-26 12:18:15,11,0,11,Gold Coast,Melbourne,17,89,1428115200
1,12,78,Docklands,12,St Kilda,9.0,2015-04-05 13:10:00,0,2015,2015-04-05 13:10:00,Round 1,2613,9,+10:00,Full Time,100,2018-06-26 12:18:15,15,0,15,Greater Western Sydney,Greater Western Sydney,11,87,1428203400
1,9,72,Stadium Australia,12,Sydney,16.0,2015-04-04 16:35:00,0,2015,2015-04-04 16:35:00,Round 1,2605,5,+11:00,Full Time,100,2018-06-26 12:18:15,16,0,6,Essendon,Sydney,10,60,1428125700
1,14,97,Docklands,13,Western Bulldogs,18.0,2015-04-04 19:20:00,0,2015,2015-04-04 19:20:00,Round 1,2607,17,+11:00,Full Time,100,2018-06-26 12:18:15,18,0,3,West Coast,Western Bulldogs,14,87,1428135600
2,12,63,Docklands,9,Collingwood,1.0,2015-04-11 16:35:00,0,2015,2015-04-11 16:35:00,Round 2,2620,1,+10:00,Full Time,100,2018-06-26 12:18:15,4,0,18,Adelaide,Adelaide,9,90,1428734100
2,11,78,M.C.G.,6,Essendon,5.0,2015-04-12 15:20:00,0,2015,2015-04-12 15:20:00,Round 2,2639,10,+10:00,Full Time,100,2018-06-26 12:18:15,5,0,10,Hawthorn,Essendon,12,76,1428816000
2,15,60,GMHBA Stadium,6,Geelong,6.0,2015-04-12 13:10:00,0,2015,2015-04-12 13:10:00,Round 2,2638,6,+10:00,Full Time,100,2018-06-26 12:18:15,7,0,14,Fremantle,Fremantle,9,104,1428808200
2,16,76,Carrara,16,Gold Coast,15.0,2015-04-11 19:20:00,0,2015,2015-04-11 19:20:00,Round 2,2621,15,+10:00,Full Time,100,2018-06-26 12:18:15,8,0,8,St Kilda,St Kilda,10,104,1428744000
2,8,101,UNSW Canberra Oval,11,Greater Western Sydney,9.0,2015-04-11 14:10:00,0,2015,2015-04-11 14:10:00,Round 2,2619,11,+10:00,Full Time,100,2018-06-26 12:18:15,9,0,8,Melbourne,Greater Western Sydney,15,56,1428725400
2,7,133,Docklands,13,North Melbourne,12.0,2015-04-12 16:40:00,0,2015,2015-04-12 16:40:00,Round 2,2640,2,+10:00,Full Time,100,2018-06-26 12:18:15,12,0,9,Brisbane Lions,North Melbourne,20,51,1428820800
2,14,44,Adelaide Oval,8,Port Adelaide,16.0,2015-04-11 19:40:00,0,2015,2015-04-11 19:10:00,Round 2,2622,16,+10:00,Full Time,100,2018-06-26 12:18:15,13,0,8,Sydney,Sydney,6,92,1428745200
2,12,66,M.C.G.,12,Richmond,18.0,2015-04-11 13:45:00,0,2015,2015-04-11 13:45:00,Round 2,2618,18,+10:00,Full Time,100,2018-06-26 12:18:15,14,0,13,Western Bulldogs,Western Bulldogs,9,85,1428723900
2,9,131,Subiaco,11,West Coast,17.0,2015-04-10 20:10:00,0,2015,2015-04-10 18:10:00,Round 2,2617,3,+10:00,Full Time,100,2018-06-26 12:18:15,17,0,8,Carlton,West Coast,20,62,1428660600
3,7,80,Adelaide Oval,8,Adelaide,1.0,2015-04-18 14:10:00,0,2015,2015-04-18 13:40:00,Round 3,2654,11,+10:00,Full Time,100,2018-06-26 12:18:16,1,0,13,Melbourne,Adelaide,12,55,1429330200
3,21,58,Gabba,10,Brisbane Lions,14.0,2015-04-18 19:20:00,0,2015,2015-04-18 19:20:00,Round 3,2657,14,+10:00,Full Time,100,2018-06-26 12:18:16,2,0,11,Richmond,Richmond,8,137,1429348800
3,16,84,M.C.G.,18,Carlton,5.0,2015-04-18 13:45:00,0,2015,2015-04-18 13:45:00,Round 3,2642,5,+10:00,Full Time,100,2018-06-26 12:18:16,3,0,9,Essendon,Essendon,11,105,1429328700
3,10,140,M.C.G.,14,Collingwood,4.0,2015-04-17 19:50:00,0,2015,2015-04-17 19:50:00,Round 3,2641,15,+10:00,Full Time,100,2018-06-26 12:18:15,4,0,6,St Kilda,Collingwood,21,66,1429264200
3,13,105,GMHBA Stadium,9,Geelong,7.0,2015-04-19 15:20:00,0,2015,2015-04-19 15:20:00,Round 3,2659,8,+10:00,Full Time,100,2018-06-26 12:18:16,7,0,18,Gold Coast,Geelong,16,96,1429420800
3,8,127,University of Tasmania Stadium,13,Hawthorn,10.0,2015-04-19 13:10:00,0,2015,2015-04-19 13:10:00,Round 3,2658,18,+10:00,Full Time,100,2018-06-26 12:18:16,10,0,9,Western Bulldogs,Hawthorn,19,57,1429413000
3,17,105,Docklands,9,North Melbourne,13.0,2015-04-18 19:20:00,0,2015,2015-04-18 19:20:00,Round 3,2656,13,+10:00,Full Time,100,2018-06-26 12:18:16,12,0,11,Port Adelaide,Port Adelaide,16,113,1429348800
3,12,111,S.C.G.,15,Sydney,16.0,2015-04-18 16:35:00,0,2015,2015-04-18 16:35:00,Round 3,2655,9,+10:00,Full Time,100,2018-06-26 12:18:16,16,0,18,Greater Western Sydney,Sydney,16,90,1429338900
3,17,81,Subiaco,9,West Coast,6.0,2015-04-19 16:40:00,0,2015,2015-04-19 14:40:00,Round 3,2660,6,+10:00,Full Time,100,2018-06-26 12:18:16,17,0,9,Fremantle,Fremantle,12,111,1429425600
4,17,65,Gabba,11,Brisbane Lions,17.0,2015-04-26 13:10:00,0,2015,2015-04-26 13:10:00,Round 4,2669,17,+10:00,Full Time,100,2018-06-26 12:18:16,2,0,16,West Coast,West Coast,9,118,1430017800
4,9,49,M.C.G.,13,Essendon,4.0,2015-04-25 14:40:00,0,2015,2015-04-25 14:40:00,Round 4,2665,4,+10:00,Full Time,100,2018-06-26 12:18:16,5,0,15,Collingwood,Collingwood,6,69,1429936800
4,8,74,Subiaco,8,Fremantle,6.0,2015-04-25 20:45:00,0,2015,2015-04-25 18:45:00,Round 4,2668,16,+10:00,Full Time,100,2018-06-26 12:18:16,6,0,12,Sydney,Fremantle,11,60,1429958700
4,12,67,GMHBA Stadium,13,Geelong,12.0,2015-04-26 15:20:00,0,2015,2015-04-26 15:20:00,Round 4,2670,12,+10:00,Full Time,100,2018-06-26 12:18:16,7,0,11,North Melbourne,North Melbourne,9,83,1430025600
4,7,119,UNSW Canberra Oval,23,Greater Western Sydney,9.0,2015-04-25 17:40:00,0,2015,2015-04-25 17:40:00,Round 4,2666,8,+10:00,Full Time,100,2018-06-26 12:18:16,9,0,11,Gold Coast,Greater Western Sydney,16,53,1429947600
4,13,99,Adelaide Oval,9,Port Adelaide,13.0,2015-04-25 19:40:00,0,2015,2015-04-25 19:10:00,Round 4,2667,10,+10:00,Full Time,100,2018-06-26 12:18:16,13,0,13,Hawthorn,Port Adelaide,15,91,1429954800
4,12,51,M.C.G.,15,Richmond,11.0,2015-04-24 19:50:00,0,2015,2015-04-24 19:50:00,Round 4,2661,11,+10:00,Full Time,100,2018-06-26 12:18:16,14,0,11,Melbourne,Melbourne,6,83,1429869000
4,18,81,Wellington,9,St Kilda,3.0,2015-04-25 11:10:00,0,2015,2015-04-25 13:10:00,Round 4,2662,3,+10:00,Full Time,100,2018-06-26 12:18:16,15,0,13,Carlton,Carlton,12,121,1429924200
4,10,125,Docklands,17,Western Bulldogs,18.0,2015-04-26 16:40:00,0,2015,2015-04-26 16:40:00,Round 4,2671,1,+10:00,Full Time,100,2018-06-26 12:18:16,18,0,8,Adelaide,Western Bulldogs,18,68,1430030400
5,18,91,Adelaide Oval,13,Adelaide,13.0,2015-05-03 16:40:00,0,2015,2015-05-03 16:10:00,Round 5,2680,13,+10:00,Full Time,100,2018-06-26 12:18:16,1,0,7,Port Adelaide,Port Adelaide,13,115,1430635200
5,18,45,M.C.G.,9,Carlton,4.0,2015-05-01 19:50:00,0,2015,2015-05-01 19:50:00,Round 5,2672,4,+10:00,Full Time,100,2018-06-26 12:18:16,3,0,12,Collingwood,Collingwood,6,120,1430473800
5,7,118,Carrara,10,Gold Coast,8.0,2015-05-02 16:35:00,0,2015,2015-05-02 16:35:00,Round 5,2675,2,+10:00,Full Time,100,2018-06-26 12:18:16,8,0,12,Brisbane Lions,Gold Coast,18,54,1430548500
5,18,50,M.C.G.,14,Melbourne,6.0,2015-05-03 13:10:00,0,2015,2015-05-03 13:10:00,Round 5,2678,6,+10:00,Full Time,100,2018-06-26 12:18:16,11,0,10,Fremantle,Fremantle,6,118,1430622600
5,19,70,Docklands,10,North Melbourne,10.0,2015-05-02 19:20:00,0,2015,2015-05-02 19:20:00,Round 5,2676,10,+10:00,Full Time,100,2018-06-26 12:18:16,12,0,16,Hawthorn,Hawthorn,10,130,1430558400
5,12,76,M.C.G.,10,Richmond,7.0,2015-05-02 13:45:00,0,2015,2015-05-02 13:45:00,Round 5,2673,7,+10:00,Full Time,100,2018-06-26 12:18:16,14,0,13,Geelong,Geelong,11,85,1430538300
5,11,80,Docklands,14,St Kilda,5.0,2015-05-03 15:20:00,0,2015,2015-05-03 15:20:00,Round 5,2679,5,+10:00,Full Time,100,2018-06-26 12:18:16,15,0,16,Essendon,Essendon,11,82,1430630400
5,11,73,S.C.G.,13,Sydney,18.0,2015-05-02 14:10:00,0,2015,2015-05-02 14:10:00,Round 5,2674,18,+10:00,Full Time,100,2018-06-26 12:18:16,16,0,11,Western Bulldogs,Western Bulldogs,10,77,1430539800
5,4,120,Subiaco,12,West Coast,17.0,2015-05-02 19:40:00,0,2015,2015-05-02 17:40:00,Round 5,2677,9,+10:00,Full Time,100,2018-06-26 12:18:16,17,0,9,Greater Western Sydney,West Coast,18,33,1430559600
6,12,75,Docklands,9,Carlton,2.0,2015-05-10 15:20:00,0,2015,2015-05-10 15:20:00,Round 6,2699,2,+10:00,Full Time,100,2018-06-26 12:18:16,3,0,12,Brisbane Lions,Brisbane Lions,11,84,1431235200
6,15,59,M.C.G.,11,Collingwood,7.0,2015-05-08 19:50:00,0,2015,2015-05-08 19:50:00,Round 6,2681,7,+10:00,Full Time,100,2018-06-26 12:18:16,4,0,10,Geelong,Geelong,8,100,1431078600
6,7,80,Subiaco,8,Fremantle,6.0,2015-05-09 20:10:00,0,2015,2015-05-09 18:10:00,Round 6,2698,5,+10:00,Full Time,100,2018-06-26 12:18:16,6,0,10,Essendon,Fremantle,12,52,1431166200
6,18,78,Carrara,12,Gold Coast,1.0,2015-05-09 17:10:00,0,2015,2015-05-09 17:10:00,Round 6,2696,1,+10:00,Full Time,100,2018-06-26 12:18:16,8,0,11,Adelaide,Adelaide,11,119,1431155400
6,14,108,Sydney Showground,12,Greater Western Sydney,9.0,2015-05-09 16:35:00,0,2015,2015-05-09 16:35:00,Round 6,2695,10,+10:00,Full Time,100,2018-06-26 12:18:16,9,0,14,Hawthorn,Greater Western Sydney,16,98,1431153300
6,12,50,M.C.G.,8,Melbourne,16.0,2015-05-09 19:20:00,0,2015,2015-05-09 19:20:00,Round 6,2697,16,+10:00,Full Time,100,2018-06-26 12:18:16,11,0,16,Sydney,Sydney,7,88,1431163200
6,10,109,Bellerive Oval,13,North Melbourne,12.0,2015-05-09 13:45:00,0,2015,2015-05-09 13:45:00,Round 6,2682,14,+10:00,Full Time,100,2018-06-26 12:18:16,12,0,14,Richmond,North Melbourne,16,74,1431143100
6,11,68,Adelaide Oval,8,Port Adelaide,17.0,2015-05-10 16:40:00,0,2015,2015-05-10 16:10:00,Round 6,2700,17,+10:00,Full Time,100,2018-06-26 12:18:16,13,0,12,West Coast,West Coast,10,78,1431240000
6,14,87,Docklands,9,Western Bulldogs,15.0,2015-05-09 14:10:00,0,2015,2015-05-09 14:10:00,Round 6,2694,15,+10:00,Full Time,100,2018-06-26 12:18:16,18,0,10,St Kilda,St Kilda,13,94,1431144600
7,10,119,Adelaide Oval,11,Adelaide,1.0,2015-05-16 13:45:00,0,2015,2015-05-16 13:15:00,Round 7,2702,15,+10:00,Full Time,100,2018-06-26 12:18:16,1,0,13,St Kilda,Adelaide,18,73,1431747900
7,8,102,Gabba,12,Brisbane Lions,2.0,2015-05-17 16:40:00,0,2015,2015-05-17 16:40:00,Round 7,2713,13,+10:00,Full Time,100,2018-06-26 12:18:17,2,0,17,Port Adelaide,Brisbane Lions,15,65,1431844800
7,19,57,Docklands,3,Carlton,9.0,2015-05-16 16:35:00,0,2015,2015-05-16 16:35:00,Round 7,2708,9,+10:00,Full Time,100,2018-06-26 12:18:17,3,0,21,Greater Western Sydney,Greater Western Sydney,9,135,1431758100
7,13,82,Docklands,10,Essendon,12.0,2015-05-15 19:50:00,0,2015,2015-05-15 19:50:00,Round 7,2701,12,+10:00,Full Time,100,2018-06-26 12:18:16,5,0,15,North Melbourne,North Melbourne,12,93,1431683400
7,7,155,M.C.G.,11,Hawthorn,10.0,2015-05-16 14:10:00,0,2015,2015-05-16 14:10:00,Round 7,2707,11,+10:00,Full Time,100,2018-06-26 12:18:17,10,0,8,Melbourne,Hawthorn,24,50,1431749400
7,15,105,M.C.G.,9,Richmond,14.0,2015-05-17 15:20:00,0,2015,2015-05-17 15:20:00,Round 7,2712,4,+10:00,Full Time,100,2018-06-26 12:18:17,14,0,10,Collingwood,Richmond,16,100,1431840000
7,11,120,Stadium Australia,12,Sydney,16.0,2015-05-16 19:20:00,0,2015,2015-05-16 19:20:00,Round 7,2709,7,+10:00,Full Time,100,2018-06-26 12:18:17,16,0,11,Geelong,Sydney,18,77,1431768000
7,6,135,Subiaco,9,West Coast,17.0,2015-05-16 19:40:00,0,2015,2015-05-16 17:40:00,Round 7,2710,8,+10:00,Full Time,100,2018-06-26 12:18:17,17,0,7,Gold Coast,West Coast,21,43,1431769200
7,15,88,Docklands,4,Western Bulldogs,6.0,2015-05-17 13:10:00,0,2015,2015-05-17 13:10:00,Round 7,2711,6,+10:00,Full Time,100,2018-06-26 12:18:17,18,0,11,Fremantle,Fremantle,14,101,1431832200
8,12,136,Docklands,10,Essendon,5.0,2015-05-24 13:10:00,0,2015,2015-05-24 13:10:00,Round 8,2720,2,+10:00,Full Time,100,2018-06-26 12:18:17,5,0,6,Brisbane Lions,Essendon,21,78,1432437000
8,5,115,Subiaco,13,Fremantle,6.0,2015-05-23 19:40:00,0,2015,2015-05-23 17:40:00,Round 8,2719,12,+10:00,Full Time,100,2018-06-26 12:18:17,6,0,12,North Melbourne,Fremantle,17,42,1432374000
8,9,140,Docklands,8,Geelong,7.0,2015-05-22 19:50:00,0,2015,2015-05-22 19:50:00,Round 8,2714,3,+10:00,Full Time,100,2018-06-26 12:18:17,7,0,9,Carlton,Geelong,22,63,1432288200
8,20,63,Carrara,9,Gold Coast,4.0,2015-05-23 16:35:00,0,2015,2015-05-23 16:35:00,Round 8,2717,4,+10:00,Full Time,100,2018-06-26 12:18:17,8,0,12,Collingwood,Collingwood,9,132,1432362900
8,12,108,Sydney Showground,12,Greater Western Sydney,9.0,2015-05-23 14:10:00,0,2015,2015-05-23 14:10:00,Round 8,2716,1,+10:00,Full Time,100,2018-06-26 12:18:17,9,0,12,Adelaide,Greater Western Sydney,16,84,1432354200
8,11,69,M.C.G.,15,Hawthorn,16.0,2015-05-23 19:20:00,0,2015,2015-05-23 19:20:00,Round 8,2718,16,+10:00,Full Time,100,2018-06-26 12:18:17,10,0,7,Sydney,Sydney,9,73,1432372800
8,9,103,M.C.G.,13,Melbourne,11.0,2015-05-24 15:20:00,0,2015,2015-05-24 15:20:00,Round 8,2721,18,+10:00,Full Time,100,2018-06-26 12:18:17,11,0,10,Western Bulldogs,Melbourne,15,64,1432444800
8,11,43,Adelaide Oval,13,Port Adelaide,14.0,2015-05-24 16:40:00,0,2015,2015-05-24 16:10:00,Round 8,2722,14,+10:00,Full Time,100,2018-06-26 12:18:17,13,0,10,Richmond,Richmond,5,76,1432449600
8,20,78,Docklands,6,St Kilda,17.0,2015-05-23 13:45:00,0,2015,2015-05-23 13:45:00,Round 8,2715,17,+10:00,Full Time,100,2018-06-26 12:18:17,15,0,11,West Coast,West Coast,12,131,1432352700
9,10,57,Adelaide Oval,15,Adelaide,6.0,2015-05-30 19:40:00,0,2015,2015-05-30 19:10:00,Round 9,2737,6,+10:00,Full Time,100,2018-06-26 12:18:17,1,0,8,Fremantle,Fremantle,7,68,1432978800
9,16,86,Gabba,8,Brisbane Lions,15.0,2015-05-31 13:10:00,0,2015,2015-05-31 13:10:00,Round 9,2738,15,+10:00,Full Time,100,2018-06-26 12:18:17,2,0,12,St Kilda,St Kilda,13,108,1433041800
9,14,112,M.C.G.,10,Collingwood,4.0,2015-05-31 15:20:00,0,2015,2015-05-31 15:20:00,Round 9,2739,12,+10:00,Full Time,100,2018-06-26 12:18:17,4,0,11,North Melbourne,Collingwood,17,95,1433049600
9,6,93,University of Tasmania Stadium,9,Hawthorn,10.0,2015-05-30 13:45:00,0,2015,2015-05-30 13:45:00,Round 9,2733,8,+10:00,Full Time,100,2018-06-26 12:18:17,10,0,4,Gold Coast,Hawthorn,14,40,1432957500
9,18,54,Traeger Park,6,Melbourne,13.0,2015-05-30 14:10:00,0,2015,2015-05-30 13:40:00,Round 9,2734,13,+10:00,Full Time,100,2018-06-26 12:18:17,11,0,7,Port Adelaide,Port Adelaide,8,115,1432959000
9,8,72,M.C.G.,12,Richmond,14.0,2015-05-30 19:20:00,0,2015,2015-05-30 19:20:00,Round 9,2736,5,+10:00,Full Time,100,2018-06-26 12:18:17,14,0,11,Essendon,Richmond,10,59,1432977600
9,9,122,S.C.G.,8,Sydney,16.0,2015-05-29 19:50:00,0,2015,2015-05-29 19:50:00,Round 9,2732,3,+10:00,Full Time,100,2018-06-26 12:18:17,16,0,8,Carlton,Sydney,19,62,1432893000
9,10,120,Subiaco,24,West Coast,17.0,2015-05-31 16:40:00,0,2015,2015-05-31 14:40:00,Round 9,2740,7,+10:00,Full Time,100,2018-06-26 12:18:17,17,0,4,Geelong,West Coast,16,64,1433054400
9,11,113,Docklands,17,Western Bulldogs,18.0,2015-05-30 16:35:00,0,2015,2015-05-30 16:35:00,Round 9,2735,9,+10:00,Full Time,100,2018-06-26 12:18:17,18,0,2,Greater Western Sydney,Western Bulldogs,16,68,1432967700
10,14,90,M.C.G.,6,Carlton,1.0,2015-06-06 13:40:00,0,2015,2015-06-06 13:40:00,Round 10,2742,1,+10:00,Full Time,100,2018-06-26 12:18:17,3,0,15,Adelaide,Adelaide,14,99,1433562000
10,19,53,Docklands,11,Essendon,7.0,2015-06-06 19:20:00,0,2015,2015-06-06 19:20:00,Round 10,2754,7,+10:00,Full Time,100,2018-06-26 12:18:17,5,0,8,Geelong,Geelong,7,122,1433582400
10,15,70,Subiaco,10,Fremantle,14.0,2015-06-05 20:10:00,0,2015,2015-06-05 18:10:00,Round 10,2741,14,+10:00,Full Time,100,2018-06-26 12:18:17,6,0,7,Richmond,Richmond,10,97,1433499000
10,13,41,Carrara,11,Gold Coast,16.0,2015-06-06 16:35:00,0,2015,2015-06-06 16:35:00,Round 10,2753,16,+10:00,Full Time,100,2018-06-26 12:18:17,8,0,15,Sydney,Sydney,5,93,1433572500
10,10,97,Sydney Showground,13,Greater Western Sydney,9.0,2015-06-07 13:10:00,0,2015,2015-06-07 13:10:00,Round 10,2756,2,+10:00,Full Time,100,2018-06-26 12:18:17,9,0,7,Brisbane Lions,Greater Western Sydney,14,67,1433646600
